from,to,year,type,pps
RBL,RHa,2018,1,"1,4"
RR,RBL,2018,2,"1,6"
BVB,PSt,2018,1,"0,8"
LFa,BVB,2018,2,"2,2"
SGE,NK,2018,1,"0,6"
AH,SGE,2018,2,"0,8"
FCB,JH,2018,1,"2,4"
NK,FCB,2018,2,"2,6"
FCK,SR,2018,1,"0,2"
MAn,FCK,2018,2,1
VfB,TK,2018,1,1
MW,VfB,2018,2,"0,6"
HH,B04,2018,1,2
B04,PB,2018,2,"2,4"
ABr,H96,2019,1,"0,2"
TD,H96,2019,2,"0,6"
FCN,MK,2019,1,"0,2"
BSch,FCN,2019,2,"0,2"
S04,DT,2019,1,"0,2"
HS,S04,2019,2,"0,8"
FCA,MBa,2019,1,"1,4"
MSc,FCA,2019,2,"1,4"
VfB,MW,2019,1,"0,4"
NW,VfB,2019,2,"1,75"
