from,to,year,type,pps
EvFC,SA,2018,1,"1,6"
MS,EvFC,2018,2,"1,2"
WHU,DM,2018,1,"1,4"
MPe,WHU,2018,2,"0,6"
STO,PL,2018,1,"1,2"
GR,STO,2018,2,"1,2"
SWA,CC,2018,1,0
GP,SWA,2018,2,"1,6"
ArFC,AW,2018,1,"1,6"
UM,ArFC,2018,2,"1,8"
CFC,AC,2018,1,2
MS,CFC,2018,2,3
FFC,SJo,2018,1,0
CR,FFC,2018,2,"0,8"
SoFC,MHu,2018,1,"0,6"
KDa,SoFC,2018,2,0
SoFC,KDa,2018,1,0
RHa,SoFC,2018,2,"1,4"
MU,JM,2018,1,"1,2"
OGS,MU,2018,2,3
HT,DWa,2019,1,"0,2"
MHud,HT,2019,2,0
HT,MHud,2019,1,0
JSi,HT,2019,2,"0,6"
LEC,CPu,2019,1,"0,2"
MSt,LEC,2019,2,3
LEC,MSt,2019,1,3
BR,LEC,2019,2,"2,4"
FFC,CR,2019,1,"0,6"
SP,FFC,2019,2,0
