id,name,type,league
SA,Sam Allardyce,1,2
MSi,Marco Silva,1,2
DM,David Moyes,1,2
MPe,Manuel Pellegrini,1,2
PL,Paul Lambert,1,2
CC,Carlos Carvalhal,1,2
GP,Graham Potter,1,2
AW,Arsene Wenger,1,2
UM,Unai Emery,1,2
AC,Antonio Conte,1,2
MS,Maurizio Sarri,1,2
SJo,Slavisa Jokanovic,1,2
CR,Claudio Ranieri,1,2
MHu,Mark Hughes,1,2
KDa,Kelvin Davis,1,2
RHa,Ralph Hasenhüttl,1,2
JM,Jose Mourinho,1,2
OGS,Ole Gunnar Solskjaer,1,2
DWa,David Wagner,1,2
MHud,Mark Hudson,1,2
JSi,Jan Siewert,1,2
CPu,Claude Puel,1,2
MSt,Mike Stowell,1,2
BR,Brendan Rodgers,1,2
SP,Scott Parker,1,2
EvFC,FC Everton,2,2
WHU,Westham United,2,2
STO,Stoke City FC,2,2
SWA,Swansea City,2,2
ArFC,Arsenal FC,2,2
CFC,FC Chelsea,2,2
FFC,Fulham FC,2,2
SoFC,Southampton FC,2,2
MU,Manchester United,2,2
HT,Huddersfield Town,2,2
LEC,Leicester City,2,2
